word,machine_translation,human_translation,machine_translation_updated
republic,olominira,olómìnira,olómìnira
catchy,mimu,,mimu
festive,ajọdun,,ajọdun
juddering,adajo,mìn,mìn
garden,ọgba,,ọgba
crying,ẹkún,ẹkún,ẹkún
oppressed,inilara,ìnilára,ìnilára
badger,baaji,dàláámù,dàláámù
crude,robi,rọ̀bì,rọ̀bì
unseemly,ti ko dara,àìbójúmu,àìbójúmu
plentiful,lọpọlọpọ,,lọpọlọpọ
drop,ju silẹ,jù sílẹ,jù sílẹ
uproarously,uproarously,aláriwo,aláriwo
siren,siren,yẹmọja,yẹmọja
unproven,ti ko ni idaniloju,àìnídànilójú,àìnídànilójú
excallent,iyalẹnu,,iyalẹnu
kill,pa,pa,pa
smart,ọlọgbọn,,ọlọgbọn
figurehead,olusin,olùsìn,olùsìn
priest,alufa,,alufa
invade,gbogun,gbóguntì,gbóguntì
obit,obit,ìtúfọ̀-òkú,ìtúfọ̀-òkú
rantingly,rantingly,kígbe,kígbe
anarchism,anarchism,rúdurùdu,rúdurùdu
brotherhood,ẹgbẹ́ ará,idapọ ọkunrin,idapọ ọkunrin
lounge,rọgbọkú,àga-ìrọ̀gbọ̀kú,àga-ìrọ̀gbọ̀kú
blindside,afọju,afọ́jú,afọ́jú
blesses,bukun,,bukun
laughs,rẹrin,,rẹrin
gnawing,gnawing,nira,nira
peacekeepers,awọn alafia,onisuuru,onisuuru
retained,ni idaduro,ní ìdádúró,ní ìdádúró
plated,palara,ìfirinbò,ìfirinbò
boosted,gbega,gbelarugẹ,gbelarugẹ
inimically,inimically,àìkónimọ́ra,àìkónimọ́ra
gainfully,ni ere,,ni ere
vileness,ẹgan,oníkà,oníkà
rremediable,rremediable,rremediable,rremediable
exhaustion,ailera,òpin,òpin
cancer,akàn,jẹjẹrẹ,jẹjẹrẹ
nuisance,iparun,ìnira,ìnira
axed,axed,ṣá ní àkéé,ṣá ní àkéé
inflame,gbona,gbóná,gbóná
articulation,isọdọkan,isọrọ,isọrọ
concede,gba,gbà,gbà
impossible,soro,kò ṣeéṣe,kò ṣeéṣe
revolutionary,rogbodiyan,,rogbodiyan
irately,irẹlẹ,ìbínú,ìbínú
damning,ẹlẹṣẹ,ìdálẹ́bi,ìdálẹ́bi
overreacts,apọju,àpọ̀jù,àpọ̀jù
truant,alaigbagbọ,ìmẹ́lẹ́,ìmẹ́lẹ́
abrupt,lojiji,lójijì,lójijì
sonnet,sonnet,orin kékeré,orin kékeré
delegate,aṣoju,,aṣoju
sense,ori,,ori
redundancy,apọju,àpọ̀jù,àpọ̀jù
corruptted,ibajẹ,ti bàjẹ́,ti bàjẹ́
forbidden,eewọ,èèwọ̀,èèwọ̀
trauma,ibalokanje,ìbàlọ́kànjẹ́,ìbàlọ́kànjẹ́
knowing,mọ,,mọ
radiation,itankalẹ,ìrọkiriká,ìrọkiriká
notoriously,ogbontarigi,ògbóǹtarìgì,ògbóǹtarìgì
illogical,alaimoye,aláìmòye,aláìmòye
plight,ipọnju,ìpọ́njú,ìpọ́njú
astronaut,awòràwọ̀,awòràwọ̀,awòràwọ̀
havoc,iparun,ìparun,ìparun
disconsolate,yọ kuro,yọ kúrò,yọ kúrò
massage,ifọwọra,,ifọwọra
responsible,lodidi,didalohun,didalohun
funnily,funnily,àwàdà,àwàdà
mirth,ayọ,,ayọ
watery,olomi,lómi,lómi
difficult,nira,nira,nira
bigot,olufokansin,olùfọkànsìn,olùfọkànsìn
apologizing,aforiji,ìdáríjì,ìdáríjì
degrading,abuku,àbùkù,àbùkù
refuse,kọ,kọ̀,kọ̀
teach,kọ,,kọ
amused,moriwu,ṣere,ṣere
unworthy,ko yẹ,kò yẹ,kò yẹ
audaciously,igboya,ìgboyà,ìgboyà
fan,ololufẹ,,ololufẹ
yucky,yocky,ìríra,ìríra
woefully,ègbé,ègbé,ègbé
neighbor,aladugbo,,aladugbo
tentative,atokun,àìfẹnukò,àìfẹnukò
heckles,heckles,yẹ̀yẹ́,yẹ̀yẹ́
achey,irora,ìrora,ìrora
congruence,iṣọkan,,iṣọkan
loopholes,loopholes,ihò,ihò
exultingly,inu didun,,inu didun
sack,àpo,dá dúró,dá dúró
douche,douche,oní ìgbéraga,oní ìgbéraga
brutalising,ìkà,ìkà,ìkà
intellectual,oloye,,oloye
adultery,agbere,àgbèrè,àgbèrè
ineffectiveness,ailagbara,àìlágbára,àìlágbára
adverse,ikolu,takò,takò
beastly,ẹranko,ẹranko,ẹranko
commits,dá,,dá
corporeal,ti ara,,ti ara
tenderness,tutu,ìkẹ́ra,ìkẹ́ra
detracted,detracted,ti yọ kúrò,ti yọ kúrò
rancor,ibinu,ìkùnsínú,ìkùnsínú
accidental,lairotẹlẹ,láìròtẹ́lẹ̀,láìròtẹ́lẹ̀
apology,aforiji,,aforiji
funnier,awada,panilerin,panilerin
stifling,stifling,dí lọ́wọ́,dí lọ́wọ́
conciliation,ilaja,,ilaja
cushy,cushy,dẹrun,dẹrun
swig,swig,gbémi,gbémi
controversially,àríyànjiyàn,àríyànjiyàn,àríyànjiyàn
cataclysmal,cataclysmal,àjálù ńlá,àjálù ńlá
cross,agbelebu,àgbélèbú,àgbélèbú
depress,ibanujẹ,banújẹ́,banújẹ́
criticizes,ṣofintoto,ṣọ̀fíǹtótó,ṣọ̀fíǹtótó
altruistically,altruistically,aimọtara-ẹnikan,aimọtara-ẹnikan
impolite,alaibọwọ,aláìbọ̀wọ̀,aláìbọ̀wọ̀
retention,idaduro,,idaduro
succulent,succulent,kun fún oje,kun fún oje
deplorably,ibanuje,ìbànújẹ́,ìbànújẹ́
painfully,ni irora,ìrora,ìrora
fraudulence,arekereke,jẹgúdújẹrá,jẹgúdújẹrá
artiste,olorin,,olorin
intriguing,iditẹ,ìdìtẹ̀,ìdìtẹ̀
postponement,idaduro,ìsúnsíwájú,ìsúnsíwájú
inspiration,awokose,imisi,imisi
geranium,geranium,eweko,eweko
reciprocate,ṣe atunṣe,,ṣe atunṣe
syndrome,ailera,àpapọ̀ onírúurú àmì àìsàn,àpapọ̀ onírúurú àmì àìsàn
critic,alariwisi,alárìíwísí,alárìíwísí
hasseling,wahala,,wahala
utterly,patapata,pátápátá,pátápátá
breakfast,aro,ounje arọ,ounje arọ
premises,agbegbe ile,,agbegbe ile
abject,itiju,òṣì,òṣì
watered-down,mbomirin,dínkù,dínkù
shoulder,ejika,,ejika
dissenter,alatako,alátakò,alátakò
dissappointed,dissappointed,jákulẹ̀,jákulẹ̀
self-determination,ipinnu ara ẹni,,ipinnu ara ẹni
ludicrously,ludicrously,ìwà òmùgọ̀,ìwà òmùgọ̀
sweeping,gbigba,,gbigba
libel,isọkusọ,ẹ̀gàn,ẹ̀gàn
retirement,ifẹhinti lẹnu iṣẹ,,ifẹhinti lẹnu iṣẹ
gonorrhea,gonorrhea,àtọ̀sí,àtọ̀sí
unquestionably,laiseaniani,,laiseaniani
enviable,ilara,,ilara
decadent,decadent,ẹlẹ́sẹ̀,ẹlẹ́sẹ̀
addicting,afẹsodi,bárakú,bárakú
prostitution,panṣaga,òwo-nàbì,òwo-nàbì
indulgence,itẹlọrun,,itẹlọrun
cleared,nso,ko,ko
plot,Idite,ìdìtẹ̀,ìdìtẹ̀
dissocial,alasoso,àìkónimọ́ra,àìkónimọ́ra
richer,ọlọrọ,,ọlọrọ
underline,ìlà,,ìlà
benevolence,oninuure,,oninuure
bruise,ọgbẹ,ọgbẹ́,ọgbẹ́
harming,ipalara,ìpalára,ìpalára
tribunal,ile -ẹjọ,ilé-ẹjọ́,ilé-ẹjọ́
loser,olofo,olófo,olófo
football,bọọlu afẹsẹgba,,bọọlu afẹsẹgba
groan,kérora,kérora,kérora
anti-american,alatako Amerika,alátakò Amẹ́ríkà,alátakò Amẹ́ríkà
stench,strùn,rùn,rùn
self-sufficiency,imotara eni,ìmọtara ẹni nìkan,ìmọtara ẹni nìkan
notoriety,ogbontarigi,ògbóǹtarìgì,ògbóǹtarìgì
startlingly,iyalẹnu,ìyàlẹ́nu,ìyàlẹ́nu
whore,panṣaga,panṣágà,panṣágà
dispirit,disirit,sọ̀rètí nù,sọ̀rètí nù
dissapointed,dissapointed,jákulẹ̀,jákulẹ̀
justified,lare,da lare,da lare
outrageousness,ibinu,ìbínú,ìbínú
repay,san pada,,san pada
labor,laala,,laala
miserable,ibanuje,ìbànújẹ́,ìbànújẹ́
severe,àìdá,nira,nira
disgusting,ìríra,ìríra,ìríra
schizophrenia,schizophrenia,àrun-ọpọlọ,àrun-ọpọlọ
bitchy,kikoro,ẹ̀tanù,ẹ̀tanù
luck,orire,,orire
strut,strut,wú,wú
oversimplification,apọju,àpọ̀jù,àpọ̀jù
intimidated,deruba,dẹ́rùbà,dẹ́rùbà
exemplar,apẹẹrẹ,,apẹẹrẹ
sunder,ya,yà,yà
endear,olufẹ,fẹran,fẹran
phony,airoju,ayédèrú,ayédèrú
angry,binu,bínú,bínú
relentlessness,relentlessness,aláìfàsẹ́yìn,aláìfàsẹ́yìn
delirious,ẹlẹgàn,ayọ̀ ayọ̀jù,ayọ̀ ayọ̀jù
main,akọkọ,,akọkọ
harden,le,le,le
punishing,ijiya,jíjẹníyà,jíjẹníyà
bawdy,bawdy,ọ̀rọ̀-rírùn,ọ̀rọ̀-rírùn
brood,ọmọ,ọmọ,ọmọ
considerable,akude,n ṣewadi,n ṣewadi
aches,awọn irora,àwọn ìrora,àwọn ìrora
graciously,oore -ofe,,oore -ofe
spoonfed,spoonfed,rán lọ́wọ́,rán lọ́wọ́
gray,grẹy,ewú,ewú
youthful,ọdọ,,ọdọ
alone,nikan,nìkan,nìkan
marvelled,yà,yalẹnu,yalẹnu
infarct,infarct,ikú-hóró,ikú-hóró
ravenous,ravenous,oníwọra,oníwọra
victimized,olufaragba,jìyà,jìyà
desecrate,sọ ara di aláìmọ́,sọ ara di aláìmọ́,sọ ara di aláìmọ́
cartoonish,aworan efe,àwòrán apanilẹ́rìnín,àwòrán apanilẹ́rìnín
intricate,intricate,diju,diju
credible,gbagbọ,,gbagbọ
brunt,ibinujẹ,agbára,agbára
emphatically,tẹnumọ,tẹnumọ́,tẹnumọ́
uproar,ariwo,ariwo,ariwo
blessed,ibukun,bukun,bukun
feudalism,feudalism,ayé-ológun,ayé-ológun
dirt,idoti,ìdọ̀tí,ìdọ̀tí
sty,ara,ilé ẹlẹ́dẹ̀,ilé ẹlẹ́dẹ̀
forewarned,ti kilọ,ìkìlọ̀,ìkìlọ̀
goad,afárá,afárá,afárá
deflation,imukuro,jíjò,jíjò
feisty,feisty,ni igboya,ni igboya
undisputed,undisputed,daaju,daaju
bitterness,kikoro,kíkorò,kíkorò
miser,aṣiwere,aṣiwèrè,aṣiwèrè
irrationalities,irrationalities,àìmọ́gbọ́nwá,àìmọ́gbọ́nwá
mutant,ẹranko,àtúndá,àtúndá
moderate,dede,,dede
blasphemy,ọrọ odi,ọ̀rọ̀ òdì,ọ̀rọ̀ òdì
precinct,agbegbe,ààlà,ààlà
horrifying,ibanuje,léwu,léwu
astutely,lasan,ọlọgbọn,ọlọgbọn
plodding,plodding,ìṣiṣẹ́,ìṣiṣẹ́
immaculate,alaimo,ailabawọn,ailabawọn
animus,animus,ìbániṣọ̀tá,ìbániṣọ̀tá
heartache,ibanujẹ ọkan,ìbànújẹ́-ọkàn,ìbànújẹ́-ọkàn
officer,Oṣiṣẹ,,Oṣiṣẹ
addicted,mowonlara,bárakú,bárakú
homeless,aini ile,aláìnílé,aláìnílé
special,pataki,,pataki
limitations,idiwọn,ìdíwọ́,ìdíwọ́
admiral,admiral,olórí ọkọ̀,olórí ọkọ̀
doggedly,doggedly,ìfaradà,ìfaradà
luminous,imole,,imole
uncooperative,ajumose,àìfọwọ́sowọ́pọ̀,àìfọwọ́sowọ́pọ̀
calamitously,àjálù,àjálù,àjálù
erratic,alaibamu,àìṣedéédé,àìṣedéédé
din,din,ariwo ńlá,ariwo ńlá
pillory,irọri,ìrọ̀rí,ìrọ̀rí
nightmarishly,nightmarishly,àlá burúkú,àlá burúkú
fateful,ayanmọ,àyànmọ́,àyànmọ́
dangerous,ewu,léwu,léwu
magnetism,oofa,,oofa
assail,ikọlu,ìkọlù,ìkọlù
can't stand,ko le duro,kò le dúró,kò le dúró
composer,olupilẹṣẹ,,olupilẹṣẹ
felony,ese odaran,ẹ̀sẹ̀ ọ̀daràn,ẹ̀sẹ̀ ọ̀daràn
approving,ifọwọsi,,ifọwọsi
regreted,banuje,kábàámọ̀,kábàámọ̀
materialist,olùfẹ́ ọrọ̀ àlùmọ́nì,olólùfẹ-ọrọ̀,olólùfẹ-ọrọ̀
mists,owusu,òwusu,òwusu
pout,pout,títi ètè síta,títi ètè síta
motive,idi,,idi
wonderously,iyanu,,iyanu
inarticulate,inarticulate,àìlèsọ̀rọ̀,àìlèsọ̀rọ̀
hanging,adiye,gbígbékọ́,gbígbékọ́
retard,idaduro,ìdádúró,ìdádúró
late,pẹ,pẹ́,pẹ́
penalty,ifiyaje,ìfìyàjẹ,ìfìyàjẹ
looses,looses,aláìmúṣinṣin,aláìmúṣinṣin
improbably,o ṣeeṣe,kò ṣeéṣe,kò ṣeéṣe
mediterranean,Mẹditarenia,,Mẹditarenia
hearth,ileru,,ileru
steadiest,steadiest,ṣinṣin,ṣinṣin
veracity,otitọ,otítọ,otítọ
eligible,yẹ,,yẹ
dagger,ọbẹ,ọ̀bẹ-olójúméjì,ọ̀bẹ-olójúméjì
pales,pale,àìlágbára,àìlágbára
questionable,ni ibeere,ní ìbéèrè,ní ìbéèrè
supremacy,titobi,olúborí,olúborí
superhuman,apọju eniyan,eniyan alagbara,eniyan alagbara
interfere,dabaru,dá sí,dá sí
materialism,ìfẹ́ ọrọ̀ àlùmọ́nì,ìfẹ-ọrọ̀,ìfẹ-ọrọ̀
minority,kekere,akéréjù,akéréjù
snappishly,ni kiakia,ni kiakia,ni kiakia
servant,iranṣẹ,ìránṣẹ́,ìránṣẹ́
rainy,ojo,ojo,ojo
discourage,ìrẹwẹsì,ìrẹ̀wẹ̀sì,ìrẹ̀wẹ̀sì
affection,ìfẹni,ifẹ,ifẹ
screw-up,dabaru-soke,dabarú,dabarú
disturbance,idamu,ìdààmú,ìdààmú
mistaken,ṣe aṣiṣe,ṣe àṣìṣe,ṣe àṣìṣe
sever,yiya,yíya,yíya
baboon,obo,ọ̀bọ,ọ̀bọ
unauthorized,laigba aṣẹ,àìláṣẹ,àìláṣẹ
snazzy,rirọ,to dara,to dara
damnit,damnit,èèyàn,èèyàn
bowdlerize,ọwọn,àtúnṣe,àtúnṣe
unobserved,ti ko ṣe akiyesi,àìfiyèsí,àìfiyèsí
steadfast,ṣinṣin,,ṣinṣin
glorious,ologo,,ologo
degeneracy,degeneracy,ìṣarán,ìṣarán
fabulously,gbayi,,gbayi
unbridled,unbridled,àìdènà,àìdènà
first-class,akọkọ-kilasi,,akọkọ-kilasi
overloaded,apọju,wúwo jù,wúwo jù
accusations,idunran,ìdùnràn,ìdùnràn
discomfort,aibanujẹ,àìbàlẹ̀ ọkàn,àìbàlẹ̀ ọkàn
bent,tẹ,tẹ̀,tẹ̀
trivialize,lasan,mú ní kékeré,mú ní kékeré
overreach,overreach,àṣejù,àṣejù
heroism,akọni,,akọni
teens,awon odo,,awon odo
vacuous,ofo,òmùgọ̀,òmùgọ̀
spark,sipaki,dan,dan
paupers,paupers,tálákà,tálákà
immerse,rì bọmi,,rì bọmi
harmoniously,ni ibamu,,ni ibamu
scholarship,sikolashipu,,sikolashipu
wrinkles,wrinkles,ìhunjọ,ìhunjọ
engrossing,engrossing,gba gbogbo,gba gbogbo
shapely,apẹrẹ,àwòrán,àwòrán
want,fẹ,,fẹ
superbly,superbly,daradara,daradara
poetic,ewì,,ewì
stalled,duro,ibùjẹ̀ ẹran,ibùjẹ̀ ẹran
foreclosures,awọn gbigbapada,àwọn gbígbàpadà,àwọn gbígbàpadà
nemesis,nemesis,ọ̀tá,ọ̀tá
unsurpassed,alailẹgbẹ,,alailẹgbẹ
inordinate,aisedeedee,àìyẹ,àìyẹ
charmless,alailagbara,aláìlágbára,aláìlágbára
unfold,ṣii,,ṣii
lack,aini,àìní,àìní
scrub,scrub,gbo,gbo
denounce,ibaniwi,ìbániwí,ìbániwí
reverently,tọ̀wọ̀tọ̀wọ̀,,tọ̀wọ̀tọ̀wọ̀
stimulated,ji,,ji
affably,affably,ninurere,ninurere
simplifying,simplifying,mu rọrun,mu rọrun
astoundingly,iyalẹnu,si iyalẹnu,si iyalẹnu
swastika,swastika,àkọmọ̀nà,àkọmọ̀nà
lethal,apaniyan,apànìyàn,apànìyàn
aggressiveness,ibinu,ìbínú,ìbínú
tasteful,adun,,adun
chant,korin,,korin
dissatisfying,itẹlọrun,kò tẹ́lọ́rùn,kò tẹ́lọ́rùn
energy-efficient,agbara-daradara,ko je agbara,ko je agbara
upliftingly,igbega soke,,igbega soke
affronted,dojuko,dójúkọ,dójúkọ
sentence,gbolohun,gbólóhùn,gbólóhùn
drained,drained,fún gbẹ,fún gbẹ
horrors,ibanuje,ìpayà,ìpayà
strong,lagbara,,lagbara
agonize,ibanuje,ìbànújẹ́,ìbànújẹ́
marquis,marquis,eyan nla,eyan nla
include,pẹlu,,pẹlu
trusty,igbẹkẹle,,igbẹkẹle
hurt,farapa,farapa,farapa
pretense,itanra,ìtànjẹ,ìtànjẹ
absence,isansa,ìsáǹsá,ìsáǹsá
fleed,ẹjẹ,sá,sá
rational,onipin,,onipin
fleshy,ẹran ara,ẹran-ara,ẹran-ara
killed,pa,pa,pa
snake,ejo,ejò,ejò
unintelligent,alaimoye,aláìnímọ́,aláìnímọ́
redeem,rapada,,rapada
starkly,tọkàntọkàn,tọkàntọkàn,tọkàntọkàn
virulently,virulently,olóró,olóró
dodging,sa,sá,sá
villains,villains,aláburú,aláburú
suffer,jìyà,jìyà,jìyà
sh*t,sh*t,sh*t,sh*t
contortions,contortions,yíyí,yíyí
raid,igbogun ti,ìgbóguntì,ìgbóguntì
devout,olùfọkànsìn,,olùfọkànsìn
warns,kilọ,kìlọ̀,kìlọ̀
handicap,alaabo,aláàbọ-ara,aláàbọ-ara
assured,fidani,fidaniloju,fidaniloju
loathsome,irira,ìríra,ìríra
insupportably,laiṣe,àìlètìlẹ́yìn,àìlètìlẹ́yìn
watchdog,oluṣọ,,oluṣọ
league,liigi,,liigi
ostracize,yapa,ìpatì,ìpatì
navigable,kiri,se tukọ,se tukọ
aye,aye,lailai,lailai
smoldering,gbígbóná,gbígbóná,gbígbóná
fascist,fascist,fascist,fascist
exaggerates,exaggerates,àsọdùn,àsọdùn
avoided,yee,yẹ̀ẹ́,yẹ̀ẹ́
potency,agbara,,agbara
scary,idẹruba,ìdẹ́rùbà,ìdẹ́rùbà
hectic,alakikanju,alákíkanjú,alákíkanjú
spilling,idasonu,ìdàsọnù,ìdàsọnù
moaned,kérora,ìdárò,ìdárò
reverie,reverie,ronú jina,ronú jina
prohibited,leewọ,èèwọ̀,èèwọ̀
fanciful,alaanu,ìrònú,ìrònú
carp,carp,ẹja odò,ẹja odò
granting,fifunni,n funni,n funni
banger,banger,ìdúngbámù,ìdúngbámù
occupation,ojúṣe,,ojúṣe
breathtaking,yanilenu,,yanilenu
instructor,oluko,,oluko
felicitous,aladun,,aladun
pinion,pinion,ìgúnkẹ́ṣẹ́-ọkọ̀,ìgúnkẹ́ṣẹ́-ọkọ̀
flabbergast,flabbergast,yà lẹ́nu,yà lẹ́nu
lose,padanu,pàdánù,pàdánù
inconsistencies,aiṣedeede,àìṣedéédé,àìṣedéédé
philanthropy,alaanu,,alaanu
tree,igi,,igi
grope,táràrà,fọwọ́-wá-ǹkan,fọwọ́-wá-ǹkan
cackle,cackle,kíkọ,kíkọ
strenuous,ìnìra,ìnìra,ìnìra
sketchy,afọwọya,àwòrán àfọwọ́yà,àwòrán àfọwọ́yà
mesmerize,moriwu,,moriwu
stumbled,kọsẹ,kọsẹ̀,kọsẹ̀
musical,orin,,orin
trashy,idoti,ìdọ̀tí,ìdọ̀tí
efficiency,ṣiṣe,agbara lati ṣiṣẹ,agbara lati ṣiṣẹ
stubbornness,agidi,agídí,agídí
stagnate,duro,dúró,dúró
parrot,parrot,odídẹrẹ́,odídẹrẹ́
morbidity,aisan,ààrùn,ààrùn
upliftment,igbega,,igbega
envy,ilara,,ilara
defunct,parun,kú,kú
anti-white,egboogi-funfun,alátakò-funfun,alátakò-funfun
outburst,ariwo,ìbúgbàù,ìbúgbàù
abominate,irira,ìríra,ìríra
eradicate,paarẹ,parẹ́,parẹ́
foolproof,aṣiwère,ainiyọnu,ainiyọnu
unhappiness,idunnu,àìnídùnnú,àìnídùnnú
justly,olododo,,olododo
exonerates,exonerates,mu ẹbi kuro,mu ẹbi kuro
adventure,ìrìn,idawọle,idawọle
attractively,fifamọra,,fifamọra
coercion,ipá,ipá,ipá
unfairly,aiṣedeede,àìṣòótọ́,àìṣòótọ́
lump,odidi,ìṣù,ìṣù
content,akoonu,nitẹlọrun,nitẹlọrun
swampy,swampy,ní-irà,ní-irà
gratify,itẹlọrun,,itẹlọrun
expensive,gbowolori,gbówó lórí,gbówó lórí
makeshift,àtúnṣe,Ṣàtúnṣe,Ṣàtúnṣe
wound,ọgbẹ,ọgbẹ́,ọgbẹ́
shun,yago fun,yàgò fún,yàgò fún
excluding,iyasoto,ìyàsọ́tọ̀,ìyàsọ́tọ̀
glee,ayo,,ayo
discolored,awọ,ṣá,ṣá
guru,guru,ọmọwe,ọmọwe
blasphemous,ọrọ odi,ọ̀rọ̀ òdì,ọ̀rọ̀ òdì
willing,setan,,setan
abhorred,korira,kórìíra,kórìíra
available,wa,,wa
soreness,ọgbẹ,ọgbẹ́,ọgbẹ́
weariness,agara,ìdánilágara,ìdánilágara
spellbound,lọkọọkan,fi edi mu,fi edi mu
maddeningly,maddeningly,aṣiwèrè,aṣiwèrè
aristocracy,aristocracy,gbajumọ ilu,gbajumọ ilu
interrupts,idilọwọ,ìdí lọ́wọ́,ìdí lọ́wọ́
horrible,oburewa,òbùrẹwà,òbùrẹwà
absentee,isansa,ìsáǹsá,ìsáǹsá
repent,ronupiwada,,ronupiwada
well-wishers,awon ololufe rere,,awon ololufe rere
oracle,ororo,ibi idahun,ibi idahun
daughter,ọmọbinrin,,ọmọbinrin
pneumonia,àìsàn òtútù àyà,òtútù-àyà,òtútù-àyà
frauds,arekereke,jẹgúdújẹrá,jẹgúdújẹrá
tease,yọ lẹnu,tọ́,tọ́
chemist,oniwosan,,oniwosan
loomed,loomed,rúgbó,rúgbó
improves,awọn ilọsiwaju,,awọn ilọsiwaju
cushion,timutimu,,timutimu
potable,ni agbara,dara,dara
meanness,itumo,burú,burú
earthquake,ìṣẹlẹ,ìsẹ́lẹ̀,ìsẹ́lẹ̀
dull,ṣigọgọ,ṣígọ̀gọ̀,ṣígọ̀gọ̀
unorthodoxy,aiṣododo,aláìgbàgbọ́,aláìgbàgbọ́
beauties,awọn ẹwa,,awọn ẹwa
slumpping,sisun,sí ṣubú,sí ṣubú
chunky,chunky,sanra,sanra
depth,ijinle,,ijinle
cozy,farabale,nirọra,nirọra
wits,wits,ọgbọn,ọgbọn
arrest,imuni,ìmúni,ìmúni
civilized,ọlaju,,ọlaju
guilty,jẹbi,jẹ̀bi,jẹ̀bi
reimbursement,isanpada,,isanpada
green,alawọ ewe,,alawọ ewe
fell,ṣubu,ṣubú,ṣubú
brash,ẹgbin,àìbìkítà,àìbìkítà
inexpensive,ilamẹjọ,dinwo,dinwo
askance,askance,fura sí,fura sí
meadow,koriko,,koriko
sensationally,ni imọlara,ní ìmọ̀lára,ní ìmọ̀lára
divisiveness,ìyapa,ìyapa,ìyapa
perversity,arekereke,ìhùwàbàjẹ́,ìhùwàbàjẹ́
bull****,akọmalu ****,akọ màlúù,akọ màlúù
judders,awọn onidajọ,mìn,mìn
quinine,quinine,egbodo iba,egbodo iba
enslaved,ẹrú,ẹrú,ẹrú
effusively,daradara,tu jade,tu jade
jeering,ẹlẹya,ṣẹlẹ́yà,ṣẹlẹ́yà
outlaw,olofin,arúfin,arúfin
avaricious,avaricious,ìwọ̀ra owó,ìwọ̀ra owó
terrorized,ẹru,dẹ́rùbà,dẹ́rùbà
expenses,inawo,ìnáwó,ìnáwó
aggravate,buru si,burú sí,burú sí
backed,lona,,lona
renewal,isọdọtun,,isọdọtun
motherfucking,fifẹ iya,fifẹ iya,fifẹ iya
divinity,Ibawi,iwa orun,iwa orun
destitution,ipadanu,ṣàìní,ṣàìní
nauseates,ríru,ríru,ríru
cover-up,da nkan bo,da nkan bò,da nkan bò
indoctrinates,indoctrinates,ìpilẹ̀ṣẹ̀,ìpilẹ̀ṣẹ̀
worriedly,ni aibalẹ,láìbalẹ̀-ọkàn,láìbalẹ̀-ọkàn
interruptions,awọn idilọwọ,àwọn ìdílọ́wọ́,àwọn ìdílọ́wọ́
hefty,hefty,lágbára,lágbára
appeal,afilọ,bẹbẹ,bẹbẹ
outperformed,outperformed,se rekọja,se rekọja
censors,censors,censors,censors
balsam,balsam,oje,oje
problem-solver,iṣoro-iṣoro,oluyanju isoro,oluyanju isoro
smartest,ọlọgbọn julọ,,ọlọgbọn julọ
monster,aderubaniyan,abàmì ẹ̀dá,abàmì ẹ̀dá
intelligent,ọlọgbọn,,ọlọgbọn
famously,olokiki,,olokiki
castigate,kikorò,fìyà jẹ́ni,fìyà jẹ́ni
cannibalism,ipaniyan,ìjẹ̀nìyàn,ìjẹ̀nìyàn
incase,bi o ba ṣẹlẹ pe,aṣeéṣe,aṣeéṣe
swearing,ibura,ìbúra,ìbúra
viciousness,iwa ika,ìwà ìkà,ìwà ìkà
costlier,iye owo,wọ́n,wọ́n
tiling,tiling,ṣíṣètò ilẹ̀ fọ́gbìn,ṣíṣètò ilẹ̀ fọ́gbìn
intercourse,ajọṣepọ,,ajọṣepọ
destination,nlo,ibi tá nlọ,ibi tá nlọ
recoup,imularada,,imularada
unstoppable,unstoppable,alaile daduro,alaile daduro
working,ṣiṣẹ,,ṣiṣẹ
scandalously,scandalously,ìbanilọ́kànjẹ́,ìbanilọ́kànjẹ́
dubious,iyemeji,iyèméjì,iyèméjì
impatiently,sùúrù,àìní sùúrù,àìní sùúrù
agog,agog,kọja,kọja
deceived,tan,tàn,tàn
sneaky,sneaky,yọ́,yọ́
comrade,ẹlẹgbẹ,,ẹlẹgbẹ
attacks,awọn ikọlu,àwọn ìkọlù,àwọn ìkọlù
admit,gba,gbà,gbà
unravel,unravel,tú,tú
refuting,ṣiṣatunkọ,fi nǹkan tó lòdì hàn,fi nǹkan tó lòdì hàn
condemn,da lẹbi,dá lẹ́bi,dá lẹ́bi
grandmother,iya agba,,iya agba
forced,fi agbara mu,fi agbára mú,fi agbára mú
inconstant,alaigbọran,àìṣedéédé,àìṣedéédé
boycotting,boycotting,sísátì,sísátì
traumatize,traumatize,jìnìjìnì,jìnìjìnì
bothers,bothers,bothers,bothers
unuseable,unuseable,àìṣeélò,àìṣeélò
blabber,olofofo,olófòófó,olófòófó
incapacity,ailagbara,àìlágbára,àìlágbára
cussed,cussed,ti gégùn-ún,ti gégùn-ún
achievable,iyọrisi,ṣe e ṣe,ṣe e ṣe
ensure,rii daju,,rii daju
headway,iwaju,,iwaju
appallingly,iyalẹnu,ń bẹ̀bẹ̀,ń bẹ̀bẹ̀
failure,ikuna,ìkùnà,ìkùnà
lean,tẹẹrẹ,,tẹẹrẹ
fallacies,awọn aṣiṣe,èké,èké
endowment,ẹbun,,ẹbun
beneficially,anfaani,,anfaani
volatility,iyipada,ìyípadà,ìyípadà
regretful,banuje,àbámọ̀,àbámọ̀
treacherous,arekereke,alárèkérekè,alárèkérekè
craftsman,oniṣọnà,,oniṣọnà
